"plot","censusdate","numericdate","treatment","energy"
12,2015-02-21,16.487,"CX",58.629080190985
6,2015-02-21,16.487,"EC",102.442097126158
13,2015-02-21,16.487,"EC",106.131338789667
18,2015-02-21,16.487,"EC",52.4680953042853
3,2015-02-21,16.487,"EE",107.734192983264
15,2015-02-21,16.487,"EE",26.4529922273112
19,2015-02-21,16.487,"EE",77.0273429894225
20,2015-02-21,16.487,"EE",155.320599319061
21,2015-02-21,16.487,"EE",71.3723640164623
5,2015-02-21,16.487,"XC",41.1050181183612
7,2015-02-21,16.487,"XC",30.788876471822
24,2015-02-21,16.487,"XC",33.4830035753093
10,2015-02-21,16.487,"XX",6.04010535453724
16,2015-02-21,16.487,"XX",11.8446661165724
23,2015-02-21,16.487,"XX",38.9752132354619
4,2015-03-26,16.52,"CC",90.2184116729058
11,2015-03-26,16.52,"CC",57.9575769862763
14,2015-03-26,16.52,"CC",44.285436184531
17,2015-03-26,16.52,"CC",89.1559122339738
2,2015-03-26,16.52,"CE",100.642831519321
8,2015-03-26,16.52,"CE",58.8301512593405
22,2015-03-26,16.52,"CE",44.3981383705283
1,2015-03-26,16.52,"CX",67.7571502638512
9,2015-03-26,16.52,"CX",57.9626545394675
12,2015-03-26,16.52,"CX",112.697907926354
6,2015-03-26,16.52,"EC",98.6187314646051
13,2015-03-26,16.52,"EC",108.353619235408
18,2015-03-26,16.52,"EC",92.3363413206455
3,2015-03-26,16.52,"EE",130.360571200842
15,2015-03-26,16.52,"EE",117.045021336662
19,2015-03-26,16.52,"EE",68.0080979515486
20,2015-03-26,16.52,"EE",205.231993434703
21,2015-03-26,16.52,"EE",135.498585227981
5,2015-03-26,16.52,"XC",61.5617606498132
7,2015-03-26,16.52,"XC",118.69804798118
24,2015-03-26,16.52,"XC",41.658288988474
10,2015-03-26,16.52,"XX",60.5514069102036
16,2015-03-26,16.52,"XX",37.0326648916725
23,2015-03-26,16.52,"XX",46.7197564517817
4,2015-04-18,16.543,"CC",108.132148468143
11,2015-04-18,16.543,"CC",122.347440581042
14,2015-04-18,16.543,"CC",93.9349386101895
17,2015-04-18,16.543,"CC",97.1187320782198
2,2015-04-18,16.543,"CE",114.26329802501
8,2015-04-18,16.543,"CE",118.176322511834
22,2015-04-18,16.543,"CE",96.1303466160517
1,2015-04-18,16.543,"CX",121.06561978269
9,2015-04-18,16.543,"CX",52.9911075108208
12,2015-04-18,16.543,"CX",56.1039820542285
6,2015-04-18,16.543,"EC",164.618301472702
13,2015-04-18,16.543,"EC",146.494824605303
18,2015-04-18,16.543,"EC",139.22246473742
3,2015-04-18,16.543,"EE",216.733451439146
15,2015-04-18,16.543,"EE",136.474361019926
19,2015-04-18,16.543,"EE",87.0581041776899
20,2015-04-18,16.543,"EE",149.566531971386
21,2015-04-18,16.543,"EE",144.928677930193
5,2015-04-18,16.543,"XC",62.8054370677951
7,2015-04-18,16.543,"XC",42.336933109272
24,2015-04-18,16.543,"XC",137.122530750103
10,2015-04-18,16.543,"XX",29.9320644138972
16,2015-04-18,16.543,"XX",51.9360911375126
23,2015-04-18,16.543,"XX",112.778797782426
4,2015-05-16,16.571,"CC",106.897799241469
11,2015-05-16,16.571,"CC",58.6410034248004
14,2015-05-16,16.571,"CC",49.3214696335607
17,2015-05-16,16.571,"CC",90.6451580527068
2,2015-05-16,16.571,"CE",74.7835005007183
8,2015-05-16,16.571,"CE",96.4465332856576
22,2015-05-16,16.571,"CE",88.8230723328168
1,2015-05-16,16.571,"CX",94.0533295616627
9,2015-05-16,16.571,"CX",6.44741959094125
12,2015-05-16,16.571,"CX",46.426113263064
6,2015-05-16,16.571,"EC",85.4710943844885
13,2015-05-16,16.571,"EC",92.4659757285799
18,2015-05-16,16.571,"EC",42.1564092320455
3,2015-05-16,16.571,"EE",110.156086419688
15,2015-05-16,16.571,"EE",97.9561702469534
19,2015-05-16,16.571,"EE",109.008821218382
20,2015-05-16,16.571,"EE",159.891557157478
21,2015-05-16,16.571,"EE",118.554514569721
5,2015-05-16,16.571,"XC",56.2429241460353
7,2015-05-16,16.571,"XC",100.42161125234
24,2015-05-16,16.571,"XC",77.1823871858472
10,2015-05-16,16.571,"XX",26.8023311098182
16,2015-05-16,16.571,"XX",33.0722627669331
23,2015-05-16,16.571,"XX",25.3489021084479
4,2015-06-13,16.599,"CC",84.675096542765
11,2015-06-13,16.599,"CC",108.531433506474
14,2015-06-13,16.599,"CC",75.6730765403717
17,2015-06-13,16.599,"CC",144.635434120946
2,2015-06-13,16.599,"CE",127.721156367183
8,2015-06-13,16.599,"CE",93.0353837691848
22,2015-06-13,16.599,"CE",93.8798598852708
1,2015-06-13,16.599,"CX",131.497768527959
9,2015-06-13,16.599,"CX",45.6382259610307
12,2015-06-13,16.599,"CX",89.307359360577
6,2015-06-13,16.599,"EC",122.375882285508
13,2015-06-13,16.599,"EC",134.24379465877
18,2015-06-13,16.599,"EC",87.7953935931687
3,2015-06-13,16.599,"EE",152.608893766247
15,2015-06-13,16.599,"EE",86.6207293733836
19,2015-06-13,16.599,"EE",83.4002992830478
20,2015-06-13,16.599,"EE",167.376279878475
21,2015-06-13,16.599,"EE",149.824299457755
