"plot","censusdate","numericdate","treatment","n"
13,2016-02-13,16.844,"EC",3
18,2016-02-13,16.844,"EC",1
5,2016-02-13,16.844,"XC",4
7,2016-02-13,16.844,"XC",1
24,2016-02-13,16.844,"XC",5
4,2016-03-19,16.879,"CC",2
11,2016-03-19,16.879,"CC",0
14,2016-03-19,16.879,"CC",3
17,2016-03-19,16.879,"CC",3
6,2016-03-19,16.879,"EC",2
13,2016-03-19,16.879,"EC",5
18,2016-03-19,16.879,"EC",2
5,2016-03-19,16.879,"XC",1
7,2016-03-19,16.879,"XC",1
24,2016-03-19,16.879,"XC",3
4,2016-05-07,16.928,"CC",5
11,2016-05-07,16.928,"CC",2
14,2016-05-07,16.928,"CC",2
17,2016-05-07,16.928,"CC",7
6,2016-05-07,16.928,"EC",3
13,2016-05-07,16.928,"EC",4
18,2016-05-07,16.928,"EC",6
5,2016-05-07,16.928,"XC",5
7,2016-05-07,16.928,"XC",4
24,2016-05-07,16.928,"XC",3
4,2016-06-04,16.956,"CC",4
11,2016-06-04,16.956,"CC",0
14,2016-06-04,16.956,"CC",3
17,2016-06-04,16.956,"CC",2
6,2016-06-04,16.956,"EC",3
13,2016-06-04,16.956,"EC",2
18,2016-06-04,16.956,"EC",1
5,2016-06-04,16.956,"XC",3
7,2016-06-04,16.956,"XC",3
24,2016-06-04,16.956,"XC",3
4,2016-07-02,16.984,"CC",3
11,2016-07-02,16.984,"CC",2
14,2016-07-02,16.984,"CC",6
17,2016-07-02,16.984,"CC",6
6,2016-07-02,16.984,"EC",4
13,2016-07-02,16.984,"EC",4
18,2016-07-02,16.984,"EC",4
5,2016-07-02,16.984,"XC",3
7,2016-07-02,16.984,"XC",3
24,2016-07-02,16.984,"XC",2
4,2016-08-06,17.019,"CC",6
11,2016-08-06,17.019,"CC",2
14,2016-08-06,17.019,"CC",5
17,2016-08-06,17.019,"CC",6
6,2016-08-06,17.019,"EC",3
13,2016-08-06,17.019,"EC",4
18,2016-08-06,17.019,"EC",3
5,2016-08-06,17.019,"XC",8
7,2016-08-06,17.019,"XC",2
24,2016-08-06,17.019,"XC",3
4,2016-09-03,17.047,"CC",3
11,2016-09-03,17.047,"CC",2
14,2016-09-03,17.047,"CC",3
17,2016-09-03,17.047,"CC",5
6,2016-09-03,17.047,"EC",4
13,2016-09-03,17.047,"EC",3
18,2016-09-03,17.047,"EC",2
5,2016-09-03,17.047,"XC",4
7,2016-09-03,17.047,"XC",4
24,2016-09-03,17.047,"XC",2
4,2016-10-01,17.075,"CC",0
11,2016-10-01,17.075,"CC",1
14,2016-10-01,17.075,"CC",2
17,2016-10-01,17.075,"CC",4
6,2016-10-01,17.075,"EC",1
13,2016-10-01,17.075,"EC",1
18,2016-10-01,17.075,"EC",1
5,2016-10-01,17.075,"XC",3
7,2016-10-01,17.075,"XC",2
24,2016-10-01,17.075,"XC",0
4,2016-11-05,17.11,"CC",1
11,2016-11-05,17.11,"CC",1
14,2016-11-05,17.11,"CC",0
17,2016-11-05,17.11,"CC",0
6,2016-11-05,17.11,"EC",0
13,2016-11-05,17.11,"EC",1
18,2016-11-05,17.11,"EC",0
5,2016-11-05,17.11,"XC",0
7,2016-11-05,17.11,"XC",0
24,2016-11-05,17.11,"XC",1
4,2017-01-07,17.173,"CC",1
11,2017-01-07,17.173,"CC",0
14,2017-01-07,17.173,"CC",0
17,2017-01-07,17.173,"CC",0
6,2017-01-07,17.173,"EC",0
13,2017-01-07,17.173,"EC",0
18,2017-01-07,17.173,"EC",0
5,2017-01-07,17.173,"XC",0
7,2017-01-07,17.173,"XC",0
24,2017-01-07,17.173,"XC",1
4,2017-01-28,17.194,"CC",1
11,2017-01-28,17.194,"CC",0
14,2017-01-28,17.194,"CC",0
17,2017-01-28,17.194,"CC",1
6,2017-01-28,17.194,"EC",1
13,2017-01-28,17.194,"EC",2
18,2017-01-28,17.194,"EC",0
5,2017-01-28,17.194,"XC",0
7,2017-01-28,17.194,"XC",1
24,2017-01-28,17.194,"XC",1
